,职位ID,职位名,薪资范围,公司ID,公司名,职位链接,发布时间,猎头名称,猎头ID,工作经验,公司主页,公司描述,岗位亮点
166,8924953,php开发工程师,15k-30k,121847946,金磁石,https://www.lagou.com/jobs/8924953.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-04,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/d9ab47794658fa2785851998d340a3206dd040ba57ac3b423fad4c0a5800f440.html,企业服务 / 不需要融资 / 50-150人,“【爆米科技】猎头职位”
167,6160803,PHP开发工程师QD001,8k-15k,7535,值得买科技,https://www.lagou.com/jobs/6160803.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/80e2771c2d2c9d8483cd5b30fb7c971c466845b172a84e2c.html,消费生活 / 上市公司 / 500-2000人,“五险一金 绩效奖金 节日福利”
168,7852687,php开发工程师,12k-18k,445651,财盈通,https://www.lagou.com/jobs/7852687.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/88733e5df64c082280a30c2eb1e7c42ce24f6878a5281285.html,"软件服务｜咨询,IT技术服务｜咨询,营销服务｜咨询 / 不需要融资 / 500-2000人",“大数据、高并发、奖金多”
169,8127967,php开发工程师,8k-16k,62883,广州未名中智教育,https://www.lagou.com/jobs/8127967.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/e6f8b22f852c150e916c033e807ae1b59a9d1803869cb638.html,"消费生活,教育 / 未融资 / 50-150人",“双休，五险一金，提供午餐/晚餐”
170,5995610,PHP工程师(J10611),12k-18k,28482,欧派,https://www.lagou.com/jobs/5995610.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/5b0cfe9063a68fd9db05d3f0c6dd239763e079aacc3c7197.html,居住服务 / 上市公司 / 2000人以上,“五险一金、双休、节假日福利”
171,8876841,中高级PHP工程师,25k-35k,122632340,今朝人力资源,https://www.lagou.com/jobs/8876841.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/880cc01dc8b6a0b574dbbc06f5568e14e4e881ddf951748a54c01c6116812d32.html,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 未融资 / 50-150人",“双休五险一金带薪年假”
172,8894431,php开发工程师,7k-10k,121780425,黄豆网络,https://www.lagou.com/jobs/8894431.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/3ee2aa5891b618ca76d0a05b65a9c00ed904ee68f99f0e61f690de38d9c560bc.html,教育 / 未融资 / 50-150人,“双休”
173,8357787,PHP实施工程师,8k-15k,153116,讯康,https://www.lagou.com/jobs/8357787.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/eb190f8b87994339f6c7988dc66f0f70512d8a23d4f3a1f7.html,移动互联网 / B轮 / 150-500人,“周末双休六险一金升职空间大”
174,8306659,php开发工程师,15k-25k,25592,新浪网,https://www.lagou.com/jobs/8306659.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-02,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/e045baa7541db9740144364d3ce7aa66ce6c7fd3bde6f844.html,"内容资讯,社交媒体 / 不需要融资 / 2000人以上",“五险一金，大平台，免费班车”
175,8912261,PHP OA岗位,8k-15k,123322011,锐仕方达,https://www.lagou.com/jobs/8912261.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-02,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/3394f89a5226bdc596c362398004c75c0b7e838d2d257bbbd17ab530e8e13dfd.html,科技金融、信息检索 / 未融资 / 2000人以上,“不怎么加班”
176,8585475,php开发工程师,8k-11k,67260,邦德教育,https://www.lagou.com/jobs/8585475.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-02,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/f8d9fdfc7463dd3fa03094406b6d93f971ce4f4d59ab9e8d.html,教育 / 未融资 / 500-2000人,“大牛带队、带薪培训、丰厚福利”
177,8909487,php开发工程师,15k-23k,123416222,新锋场域,https://www.lagou.com/jobs/8909487.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-02,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/a4ccd6ef2f98a2748cf07c521bf12b3a99b29cefb1bf05255c2266e3874e97f4.html,IT技术服务｜咨询 / 未融资 / 50-150人,“五险一金 周末双休 不加班”
178,8906475,php开发工程师,13k-18k,420654,觅知网,https://www.lagou.com/jobs/8906475.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-02,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/773d12a7cbfc049d84b018bcb670cadc6a5afe970f250234.html,"内容资讯,内容社区 / 不需要融资 / 50-150人",“发展前景 弹性工作 五险一金 带薪年假 双休”
179,8751629,php开发工程师,15k-25k,23291,美图公司,https://www.lagou.com/jobs/8751629.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-02,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/d3d9310e0b108b17b33223f53deb3a4ed372d8446f0f2ffa.html,"工具类产品,智能硬件 / 上市公司 / 2000人以上",“氛围自由开放，团队年轻化，国际化”
180,8325171,PHP高级研发工程师,15k-30k,1575,百度,https://www.lagou.com/jobs/8325171.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-07,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/a1c7517d75c469b12788fec398778f5e86019a115a5da440.html,"人工智能服务,信息检索,科技金融 / 上市公司 / 2000人以上",“大牛带队 团队氛围好”
181,8920791,php开发工程师,15k-23k,121847946,金磁石,https://www.lagou.com/jobs/8920791.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-03,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/d34317a7f1e0c6285e3dc0736e732c65ea6a05ff41c4ec924ca7cbeb33312783.html,企业服务 / 不需要融资 / 50-150人,“小满科技 PHP开发工程师”
182,8906520,PHP开发（接受实习生、应届生）,8k-13k,420654,觅知网,https://www.lagou.com/jobs/8906520.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-02,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/84fc1eeb7a37acd32f8b8ad4030b47a082f4a9b1c9c79861.html,"内容资讯,内容社区 / 不需要融资 / 50-150人",“发展前景 弹性工作 五险一金 带薪年假 双休”
183,8875220,php开发工程师,6k-11k,57628,华扬联众全国数据技术中心（HDTC）,https://www.lagou.com/jobs/8875220.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-02,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/b98fb8127d339f6bbe5161e307c018bebee46617c92a017f.html,营销服务｜咨询 / 不需要融资 / 2000人以上,“带薪假期、6险1金、年底双薪、年度旅游”
184,8453474,php研发工程师,18k-35k,410453,度小满金融,https://www.lagou.com/jobs/8453474.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-02,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/e370b5286974036d3ba28949623e7898c0b05304fe792a56.html,科技金融 / A轮 / 2000人以上,“五险一金 带薪休假 大平台 技术氛围”
185,8858943,php开发工程师,15k-30k,764712,瑛太莱,https://www.lagou.com/jobs/8858943.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-02,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/3977c7d4dc20c77b0103bd25c675ede3f7ef45ced5ba8b25.html,电商平台 / 不需要融资 / 2000人以上,“优厚待遇、团队实力雄厚、绩效奖金”
186,8894763,中高级PHP工程师,15k-25k,122632340,今朝人力资源,https://www.lagou.com/jobs/8894763.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-02,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/d5d621b58ecb08a53ad5dae623a0bf74de28c3cfc6f1d521c4f971393fe06d82.html,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 未融资 / 50-150人",“五险一金，周末双休、餐补”
187,5328099,PHP开发工程师,4k-7k,176142,厦门侠网旅游服务有限公司,https://www.lagou.com/jobs/5328099.html?show=b6b910cafb5c4d0098753953a5d6a6e1,2021-06-02,,,经验1-3年 / 大专,https://www.lagou.com/gongsi/v1/0ac860de2381c8464026610b73b6a0cf5fad6f55f9e67b62.html,"旅游,移动互联网 / A轮 / 50-150人",“六险一金 年度体检 年度旅游”
