,职位ID,职位名,薪资范围,公司ID,公司名,职位链接,发布时间,猎头名称,猎头ID,工作经验,公司主页,公司描述,岗位亮点
266,8905735,自动化测试专家,20k-30k,7835,金山办公软件,https://www.lagou.com/jobs/8905735.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验5-10年 / 本科,https://www.lagou.com/gongsi/v1/372314aff9d6135fdbe230c036e07323be6f93b9d566b6ed.html,"工具类产品,软件服务｜咨询 / 上市公司 / 2000人以上",“正式编制，平台稳定，五险一金”
267,8485345,系统测试工程师,12k-20k,7835,金山办公软件,https://www.lagou.com/jobs/8485345.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/26911b84d648a9518f1bdea56e28f70d6f673c0710bda2b3.html,"工具类产品,软件服务｜咨询 / 上市公司 / 2000人以上",“正式编制，平台稳定，五险一金”
268,8381963,c++高级开发工程师,13k-15k,748982,珞珈众恒,https://www.lagou.com/jobs/8381963.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/5180e580fcc9fb5871532010fd735a28dee06afe6029be11.html,"数据服务,信息安全 / 未融资 / 15-50人",“公司氛围好，岗位发展前景大”
269,8405650,大数据挖掘/大数据分析,15k-30k,142081,多比特,https://www.lagou.com/jobs/8405650.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 硕士,https://www.lagou.com/gongsi/v1/f1354c13e9c5369816634edcb5d8e9815f1d4444e56a8ec1.html,游戏 / 不需要融资 / 150-500人,“充分授权 业务前景好 五险一金 丰厚年终”
270,8212256,高级运维工程师,18k-25k,956,金山云,https://www.lagou.com/jobs/8212256.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验5-10年 / 本科,https://www.lagou.com/gongsi/v1/4135995a1fd29cf88e338bb1361007e5.html,人工智能服务 / 上市公司 / 2000人以上,“七险一金，大平台”
271,8308328,系统运维工程师,25k-40k,956,金山云,https://www.lagou.com/jobs/8308328.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验5-10年 / 本科,https://www.lagou.com/gongsi/v1/fb6d822dd33d0fc63ba846df8950d473.html,人工智能服务 / 上市公司 / 2000人以上,“有发展前景”
272,8881408,资深测试工程师,18k-36k,37236,斗鱼直播,https://www.lagou.com/jobs/8881408.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验5-10年 / 本科,https://www.lagou.com/gongsi/v1/53f6455a3bcf4a69b7447964495825a1d8abaf357b62b020.html,MCN｜直播平台 / 上市公司 / 2000人以上,“团队稳定，人才聚集地”
273,6066758,大数据开发工程师,13k-15k,489828,动游科技,https://www.lagou.com/jobs/6066758.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 大专,https://www.lagou.com/gongsi/v1/14de2f66befe70e6197e831d516cd5c6bd415091f7d90dcc.html,游戏 / 未融资 / 150-500人,"“税后薪资,五险一金,弹性工作制,餐饮补贴”"
274,7047452,中级开发运维工程师,13k-18k,52162,武汉政通,https://www.lagou.com/jobs/7047452.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/818eb970801f4f688d08965eb472e547667cb93e5f64e9d5.html,"人工智能服务,物联网 / 上市公司 / 500-2000人","“六险一金,13薪起,周末双休”"
275,8551568,测试开发工程师,15k-20k,710893,数科网维,https://www.lagou.com/jobs/8551568.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/206bd947b495d4b4577ed35d60ca1c396e8c33a1a27c352f.html,软件服务｜咨询 / 未融资 / 150-500人,“团建、年度旅游、年终奖、项目奖、弹性办公”
